ID,tenure,Recency,monetary,frequency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Kidhome,Teenhome,Income,high_growth,predicted
5735,2963,29,2525,18,1156,120,915,94,144,96,1,3,4,10,1,0,0,90638.0,1,1
5350,2963,29,2525,18,1156,120,915,94,144,96,1,3,4,10,1,0,0,90638.0,1,1
10133,2964,16,2349,25,1302,68,731,89,114,45,0,6,7,12,2,0,0,93790.0,1,1
5386,3309,62,2302,18,1111,24,790,160,45,172,0,5,8,5,2,0,0,94384.0,1,1
6024,3309,62,2302,18,1111,24,790,160,45,172,0,5,8,5,2,0,0,94384.0,1,1
1173,3303,73,2252,13,1200,105,758,0,42,147,1,4,2,6,2,0,0,77632.0,1,1
737,3310,56,2231,15,1493,86,454,112,43,43,2,4,4,5,2,0,0,80360.0,1,1
3334,2964,35,2211,21,879,143,797,106,143,143,0,5,7,9,1,0,0,94642.0,1,1
5236,3500,30,2194,21,1230,0,396,232,178,158,1,10,2,8,5,0,1,77568.0,1,1
3698,3516,13,2130,19,817,185,687,145,55,241,1,4,6,8,2,0,0,78687.0,1,1
6421,3188,32,2116,21,1050,178,555,77,138,118,1,4,7,9,1,0,0,88347.0,1,1
3403,3470,11,2092,21,1170,19,594,99,76,134,2,2,5,12,6,0,1,78952.0,1,1
3690,3361,20,2091,22,1184,102,673,52,40,40,1,7,4,10,6,0,0,80141.0,1,1
6072,3339,16,2087,20,918,57,842,99,38,133,1,5,8,6,3,0,0,75345.0,1,1
7627,3391,25,2086,21,817,183,797,106,163,20,0,5,11,5,2,0,0,92163.0,1,1
1103,3465,60,2053,20,1486,55,278,49,0,185,2,4,4,10,6,1,0,81929.0,1,1
3139,3008,53,2052,19,871,111,704,145,55,166,1,4,4,10,2,0,0,74116.0,1,1
1772,3361,2,2043,19,1074,37,518,193,92,129,1,5,6,7,2,0,0,79174.0,1,1
4597,3189,67,2018,19,889,55,685,168,92,129,1,3,2,13,1,0,0,82072.0,1,1
2894,3070,74,2013,21,1067,138,750,0,19,39,1,7,5,8,4,0,0,72903.0,1,1
5848,2994,43,2009,19,724,74,929,97,55,130,1,5,6,7,2,0,0,81205.0,1,1
7451,2959,23,2008,19,1000,19,711,125,115,38,0,4,6,9,1,0,0,98777.0,1,1
4248,2959,23,2008,19,1000,19,711,125,115,38,0,4,6,9,1,0,0,98777.0,1,1
569,3024,32,1991,19,704,129,853,120,74,111,1,5,6,7,2,0,0,90273.0,1,1
10619,3400,29,1990,18,770,29,890,250,27,24,1,7,3,7,3,0,0,95529.0,1,1
9220,3355,58,1968,20,576,172,961,125,115,19,1,8,6,5,3,0,0,91700.0,1,1
10949,3022,8,1958,19,1092,37,592,145,37,55,1,5,5,8,3,0,0,72968.0,1,1
1127,2858,62,1958,20,938,19,843,25,95,38,1,6,6,7,2,0,0,85844.0,1,1
5536,3230,61,1957,20,1492,38,287,50,57,33,1,5,10,4,6,0,1,87771.0,1,1
3174,3230,61,1957,20,1492,38,287,50,57,33,1,5,10,4,6,0,1,87771.0,1,1
5955,3416,27,1932,16,833,33,549,151,133,233,1,4,3,8,3,0,0,72025.0,1,1
3919,3302,64,1931,20,960,0,883,50,38,0,1,5,6,8,3,0,0,72309.0,1,1
4278,3218,73,1923,19,910,111,724,49,74,55,1,10,2,6,3,0,0,87188.0,1,1
11071,3261,37,1923,16,450,133,951,173,0,216,1,3,6,6,1,0,0,79607.0,1,1
4543,3433,32,1919,19,777,129,573,216,21,203,1,2,7,9,4,0,0,82497.0,1,1
5547,3153,9,1919,20,1478,19,403,0,19,0,1,7,6,6,3,0,0,84169.0,1,1
8362,3153,9,1919,20,1478,19,403,0,19,0,1,7,6,6,3,0,0,84169.0,1,1
2611,3524,66,1910,19,1206,55,445,168,18,18,1,2,4,12,1,0,0,82576.0,1,1
8164,3043,13,1908,19,1023,93,651,49,55,37,1,5,6,7,2,0,0,82170.0,1,1
3711,2947,19,1902,20,1035,134,670,25,38,0,1,6,3,10,3,0,0,80184.0,1,1
7962,3090,1,1901,12,1285,21,449,106,20,20,1,4,3,4,1,0,0,95169.0,1,1
10909,2992,9,1899,20,992,24,694,51,19,119,0,5,10,5,1,0,0,92344.0,1,1
4702,3513,20,1895,17,1000,155,379,224,17,120,1,4,8,4,8,0,0,61839.0,1,1
